sepallengthcm,sepalwidthcm,petallengthcm,petalwidthcm,petalratio,sepalratio
4.4,2.9,1.4,0.2,6.999999999999999,1.517241379310345
4.9,2.5,4.5,1.7,2.647058823529412,1.96
6.8,2.8,4.8,1.4,3.428571428571429,2.428571428571429
4.9,3.1,1.5,0.1,15.0,1.5806451612903227
5.5,2.5,4.0,1.3,3.0769230769230766,2.2
6.3,2.5,5.0,1.9,2.631578947368421,2.52
5.6,2.7,4.2,1.3,3.230769230769231,2.074074074074074
6.3,2.8,5.1,1.5,3.4,2.25
7.7,3.0,6.1,2.3,2.6521739130434785,2.566666666666667
7.7,3.8,6.7,2.2,3.0454545454545454,2.0263157894736845
7.6,3.0,6.6,2.1,3.1428571428571423,2.533333333333333
6.0,2.9,4.5,1.5,3.0,2.0689655172413794
5.0,2.0,3.5,1.0,3.5,2.5
5.8,2.7,4.1,1.0,4.1,2.148148148148148
5.8,2.6,4.0,1.2,3.333333333333333,2.230769230769231
4.7,3.2,1.6,0.2,8.0,1.46875
5.1,3.8,1.5,0.3,5.0,1.3421052631578947
6.7,2.5,5.8,1.8,3.222222222222222,2.68
6.4,3.1,5.5,1.8,3.055555555555556,2.064516129032258
5.4,3.4,1.5,0.4,3.75,1.5882352941176472
6.3,2.5,4.9,1.5,3.266666666666667,2.52
5.1,3.8,1.6,0.2,8.0,1.3421052631578947
7.9,3.8,6.4,2.0,3.2,2.0789473684210527
5.0,3.0,1.6,0.2,8.0,1.6666666666666667
5.5,2.4,3.7,1.0,3.7,2.291666666666667
6.3,2.9,5.6,1.8,3.1111111111111107,2.1724137931034484
6.4,2.7,5.3,1.9,2.7894736842105265,2.3703703703703702
5.0,3.4,1.6,0.4,4.0,1.4705882352941178
5.6,2.8,4.9,2.0,2.45,2.0
5.0,3.5,1.3,0.3,4.333333333333334,1.4285714285714286
5.1,3.7,1.5,0.4,3.75,1.3783783783783785
6.1,2.8,4.0,1.3,3.0769230769230766,2.1785714285714284
6.1,3.0,4.6,1.4,3.2857142857142856,2.033333333333333
5.7,4.4,1.5,0.4,3.75,1.2954545454545454
6.9,3.1,5.4,2.1,2.571428571428572,2.2258064516129035
6.2,3.4,5.4,2.3,2.347826086956522,1.823529411764706
